Actividad,Precio (Por persona),Confirmacion Inmediata,Cancelacion Gratuita,Valoracion,Nº Opiniones,Link,Fecha consulta
Entradas de 1 día para Disneyland París,99,Si,Cancelación gratuita,4.8,27155,https://www.hellotickets.es/francia/paris/entradas-disneyland-paris/a/pa-554,2024-10-19 21:02:30.588319
Entradas para Los Inválidos de París,17,Si,Cancelación gratuita,4.4,3770,https://www.hellotickets.es/francia/paris/entradas-invalidos/a/pa-1714,2024-10-19 21:02:30.588319
Entradas para la Torre Eiffel de París,31,Si,No,4.6,846,https://www.hellotickets.es/francia/paris/entradas-torre-eiffel/a/pa-2240,2024-10-19 21:02:30.588319
Crucero por el río Sena,17,Si,Cancelación gratuita,4.9,28779,https://www.hellotickets.es/francia/paris/crucero-sena/a/pa-2244,2024-10-19 21:02:30.588319
Entradas para el Museo del Louvre,51,Si,No,4.7,21794,https://www.hellotickets.es/francia/paris/entradas-museo-louvre/a/pa-565,2024-10-19 21:02:30.588319
Crucero por el río Sena con crepe francés,12,Si,Cancelación gratuita,4.8,9362,https://www.hellotickets.es/francia/paris/crucero-sena-crepe/a/pa-2243,2024-10-19 21:02:30.588319
Entradas prioritarias para la cima de la Torre Eiffel,99,Si,Cancelación gratuita,4.9,1035,https://www.hellotickets.es/francia/paris/entradas-cima-torre-eiffel/a/pa-566,2024-10-19 21:02:30.588319
Entradas para Disneyland Paris con servicio de autobús exprés,175,Si,Cancelación gratuita,4.9,781,https://www.hellotickets.es/francia/paris/entradas-disneyland-autobus-expres/a/pa-6849,2024-10-19 21:02:30.588319
Entradas sin colas para la Torre Eiffel con acceso opcional a la cima,32,Si,No,4.6,1272,https://www.hellotickets.es/francia/paris/entradas-sin-colas-torre-eiffel/a/pa-6812,2024-10-19 21:02:30.588319
Crucero con cena gourmet por el río Sena con champán,115,,Cancelación gratuita,4.9,800,https://www.hellotickets.es/francia/paris/crucero-cena-gourmet-champan/a/pa-6818,2024-10-19 21:02:30.588319
Entradas para el Museo de Orsay de París,18,Si,No,4.5,20050,https://www.hellotickets.es/francia/paris/entradas-museo-orsay/a/pa-561,2024-10-19 21:02:30.588319
Entradas para el Museo del Louvre y crucero por el Sena,25,,Cancelación gratuita,4.6,12689,https://www.hellotickets.es/francia/paris/entradas-museo-louvre-y-crucero-sena/a/pa-563,2024-10-19 21:02:30.588319
Excursión a Brujas desde París,150,,Cancelación gratuita,4.3,585,https://www.hellotickets.es/francia/paris/excursion-brujas-desde-paris/a/pa-569,2024-10-19 21:02:30.588319
"Entradas para el Palacio de Versalles, los jardines y la finca de María Antonieta",36,,No,4.6,18091,https://www.hellotickets.es/francia/paris/entradas-versalles-con-maria-antonieta/a/pa-2468,2024-10-19 21:02:30.588319
Entradas de varios días para Disneyland París,174,Si,Cancelación gratuita,4.8,7438,https://www.hellotickets.es/francia/paris/entradas-varios-dias-disneyland-paris/a/pa-555,2024-10-19 21:02:30.588319
Entradas para las catacumbas de París,35,Si,No,4.8,7951,https://www.hellotickets.es/francia/paris/entradas-catacumbas/a/pa-1724,2024-10-19 21:02:30.588319
Tour por Montmartre en París con menú y entradas para el Sacre Couer,87,,Cancelación gratuita,4.7,779,https://www.hellotickets.es/francia/paris/tour-montmartre-menu-entradas-sacre-coeur/a/pa-9004,2024-10-19 21:02:30.588319
Entradas para el Arco del Triunfo en París,19,Si,Cancelación gratuita,4.5,15438,https://www.hellotickets.es/francia/paris/entradas-arco-triunfo/a/pa-2246,2024-10-19 21:02:30.588319
Visita guiada sin colas al Museo del Louvre,89,Si,Cancelación gratuita,4.9,9274,https://www.hellotickets.es/francia/paris/visita-guiada-museo-louvre/a/pa-603,2024-10-19 21:02:30.588319
Entradas para la Torre Eiffel en ascensor,79,Si,Cancelación gratuita,4.8,1530,https://www.hellotickets.es/francia/paris/torre-eiffel-ascensor/a/pa-2469,2024-10-19 21:02:30.588319
Visita guiada al Museo del Louvre con entradas de acceso prioritario,66,,Cancelación gratuita,4.6,1017,https://www.hellotickets.es/francia/paris/visita-guiada-museo-louvre-entradas/a/pa-6822,2024-10-19 21:02:30.588319
Tour por el barrio latino de París,30,Si,Cancelación gratuita,4.7,116,https://www.hellotickets.es/francia/paris/tour-barrio-latino/a/pa-630,2024-10-19 21:02:30.588319
Tour de realidad virtual de Notre Dame,31,Si,No,4.6,804,https://www.hellotickets.es/francia/paris/tour-realidad-virtual-notre-dame/a/pa-6838,2024-10-19 21:02:30.588319
Entradas para el globo Ballon de Paris Generali,20,Si,Cancelación gratuita,4.6,827,https://www.hellotickets.es/francia/paris/entradas-globo-ballon-generali/a/pa-5751,2024-10-19 21:02:30.588319
Entradas para la Sainte Chapelle y la Conciergerie en París,23,Si,Cancelación gratuita,4.8,12096,https://www.hellotickets.es/francia/paris/entradas-sainte-chapelle-conciergerie/a/pa-1718,2024-10-19 21:02:30.588319
Entradas para la Sainte Chapelle en París,23,Si,Cancelación gratuita,4.7,7139,https://www.hellotickets.es/francia/paris/entradas-sainte-chapelle/a/pa-1747,2024-10-19 21:02:30.588319
Visita guiada con acceso prioritario al Museo del Louvre,66,Si,Cancelación gratuita,4.8,790,https://www.hellotickets.es/francia/paris/visita-guiada-acceso-prioritario-museo-louvre/a/pa-6821,2024-10-19 21:02:30.588319
Entradas para el Cabaret Paradis Latin en París,90,Si,Cancelación gratuita,4.9,9826,https://www.hellotickets.es/francia/paris/entradas-cabaret-paradis-latin/a/pa-1725,2024-10-19 21:02:30.588319
Crucero por el río Sena y el canal de San Martín en París,25,Si,Cancelación gratuita,4.4,3421,https://www.hellotickets.es/francia/paris/crucero-sena-canal-san-martin/a/pa-2245,2024-10-19 21:02:30.588319
Entradas para la Bourse Commerce - Pinault Collection de París,20,Si,Cancelación gratuita,4.5,13556,https://www.hellotickets.es/francia/paris/entradas-pinault-collection/a/pa-1727,2024-10-19 21:02:30.588319
Entradas para el Museo de las Ilusiones de París,22,,No,4.4,28382,https://www.hellotickets.es/francia/paris/entradas-museo-ilusiones/a/pa-560,2024-10-19 21:02:30.588319
Entradas para el Museo de la Orangerie de París,16,Si,No,4.4,25306,https://www.hellotickets.es/francia/paris/entradas-museo-orangerie/a/pa-559,2024-10-19 21:02:30.588319
Entradas para el Museo Picasso en París,19,Si,Cancelación gratuita,4.6,18329,https://www.hellotickets.es/francia/paris/entradas-museo-picasso/a/pa-1722,2024-10-19 21:02:30.588319
Entradas para la exposición The World of Banksy en París,16,Si,No,4.6,17581,https://www.hellotickets.es/francia/paris/entradas-exposicion-world-banksy/a/pa-1728,2024-10-19 21:02:30.588319
Visita guiada a la Torre Eiffel con subida por las escaleras y acceso opcional a la cima,38,,Cancelación gratuita,4.6,15207,https://www.hellotickets.es/francia/paris/visita-guiada-torre-eiffel-escaleras/a/pa-587,2024-10-19 21:02:30.588319
Entradas para el Museo de Yves Saint Laurent de París,15,Si,No,4.5,15085,https://www.hellotickets.es/francia/paris/entradas-museo-yves-saint-laurent/a/pa-594,2024-10-19 21:02:30.588319
Crucero por el el río Sena con cena gourmet,120,Si,Cancelación gratuita,4.8,14809,https://www.hellotickets.es/francia/paris/crucero-sena-con-cena/a/pa-551,2024-10-19 21:02:30.588319
Entradas para la Ciudad de las ciencias y la industria de París,15,Si,No,4.9,14889,https://www.hellotickets.es/francia/paris/entradas-ciudad-ciencias-industria/a/pa-1749,2024-10-19 21:02:30.588319
Entradas para el Palacio de Versalles,24,,No,4.8,12802,https://www.hellotickets.es/francia/paris/entradas-versalles/a/pa-2241,2024-10-19 21:02:30.588319
Entradas para la torre de Montparnasse en París,18,Si,Cancelación gratuita,4.5,12528,https://www.hellotickets.es/francia/paris/entradas-torre-montparnasse/a/pa-1715,2024-10-19 21:02:30.588319
