Actividad,Precio (Por persona),Confirmacion Inmediata,Cancelacion Gratuita,Valoracion,Nº Opiniones,Link,Fecha consulta
"Visita guiada a los Museos Vaticanos, Capilla Sixtina y Basílica de San Pedro",105,Si,Cancelación gratuita,4.8,3706,https://www.hellotickets.es/italia/roma/visita-guiada-museos-vaticanos-capilla-sixtina-y-basilica-san-pedro/a/pa-295,2024-10-19 21:07:03.018222
Visita guiada de la Basílica de San Pedro y las tumbas de los papas,52,,Cancelación gratuita,,,https://www.hellotickets.es/italia/roma/visita-guiada-basilica-san-pedro/a/pa-1382,2024-10-19 21:07:03.018222
Oferta: Entradas al Coliseo y al Foro Romano + Museos Vaticanos y Capilla Sixtina,90,,No,4.4,2784,https://www.hellotickets.es/italia/roma/entradas-coliseo-vaticano/a/pa-151,2024-10-19 21:07:03.018222
"Visita guiada del Coliseo, el Foro Romano y el Palatino",42,,Cancelación gratuita,4.7,3799,https://www.hellotickets.es/italia/roma/visita-guiada-coliseo-foro-romano-palatino/a/pa-232,2024-10-19 21:07:03.018222
Roma Pass y Omnia Card,149,,Cancelación gratuita,4.5,948,https://www.hellotickets.es/italia/roma/roma-pass-y-omnia-card/a/pa-279,2024-10-19 21:07:03.018222
Visita guiada de la Basílica de San Pedro con subida a la cúpula,49,Si,Cancelación gratuita,4.2,2017,https://www.hellotickets.es/italia/roma/visita-guiada-basilica-san-pedro-con-subida-cupula/a/pa-195,2024-10-19 21:07:03.018222
Visita guiada del Coliseo con acceso a la arena y del Foro Romano,62,Si,No,4.7,837,https://www.hellotickets.es/italia/roma/visita-guiada-coliseo-con-arena/a/pa-278,2024-10-19 21:07:03.018222
Entradas para los Museos Vaticanos y la Capilla Sixtina sin colas,42,Si,No,4.5,5208,https://www.hellotickets.es/italia/roma/entradas-museos-vaticanos-y-capilla-sixtina/a/pa-300,2024-10-19 21:07:03.018222
Visita guiada a la Basílica de San Pedro con grutas subterráneas y cúpula,49,Si,Cancelación gratuita,4.6,908,https://www.hellotickets.es/italia/roma/visita-guiada-basilica-san-pedro-grutas-subterraneas-cupula/a/pa-4678,2024-10-19 21:07:03.018222
"Entradas para el Coliseo, el Foro Romano y el Monte Palatino con autobús turístico",65,Si,No,4.6,2141,https://www.hellotickets.es/italia/roma/entradas-coliseo/a/pa-1713,2024-10-19 21:07:03.018222
Entradas sin colas para los Museos Vaticanos y la Capilla Sixtina,43,Si,No,4.6,773,https://www.hellotickets.es/italia/roma/entradas-museos-vaticanos-sin-colas/a/pa-6679,2024-10-19 21:07:03.018222
Tour del Coliseo con realidad virtual,64,,Cancelación gratuita,4.3,429,https://www.hellotickets.es/italia/roma/tour-autoguiado-coliseo-realidad-virtual/a/pa-171,2024-10-19 21:07:03.018222
Visita guiada al Coliseo con opción de visita a la arena o los subterráneos,89,Si,No,4.6,495,https://www.hellotickets.es/italia/roma/visita-guiada-coliseo-subterrano/a/pa-261,2024-10-19 21:07:03.018222
"Visita guiada al Coliseo con acceso a la arena, Foro Romano y Monte Palatino",109,Si,No,4.8,865,https://www.hellotickets.es/italia/roma/visita-guiada-coliseo-arena-foro-romano-monte-palatino/a/pa-4636,2024-10-19 21:07:03.018222
Autobús turístico City Sightseeing de Roma,26,Si,Cancelación gratuita,4.8,1061,https://www.hellotickets.es/italia/roma/autobus-turistico-city-sightseeing/a/pa-219,2024-10-19 21:07:03.018222
Roma Pass,59,Si,No,4.3,967,https://www.hellotickets.es/italia/roma/roma-pass/a/pa-2261,2024-10-19 21:07:03.018222
"Entradas para el Coliseo, el Foro Romano y el Monte Palatino con experiencia multimedia",30,Si,No,4.7,1129,https://www.hellotickets.es/italia/roma/entradas-coliseo-foro-romano-monte-palatino-experiencia-multimedia/a/pa-4637,2024-10-19 21:07:03.018222
Audiencia Papal en el Vaticano (miércoles),35,Si,Cancelación gratuita,4.3,961,https://www.hellotickets.es/italia/roma/audiencia-papal/a/pa-260,2024-10-19 21:07:03.018222
Excursión a Pompeya y Monte Vesubio desde Roma,119,Si,No,4.4,455,https://www.hellotickets.es/italia/roma/excursion-pompeya-monte-vesubio-desde-roma/a/pa-283,2024-10-19 21:07:03.018222
Visita con audioguía al Panteón de Roma,16,Si,Cancelación gratuita,4.7,452,https://www.hellotickets.es/italia/roma/visita-con-audioguia-panteon/a/pa-238,2024-10-19 21:07:03.018222
Traslado en autobús desde el aeropuerto de Fiumicino en Roma (ida y vuelta),7,Si,Cancelación gratuita,4.7,1270,https://www.hellotickets.es/italia/roma/traslado-autobus-aeropuerto-fiumicino/a/pa-179,2024-10-19 21:07:03.018222
