Aeropuerto de Salida,Aeropuerto de Llegada,Código de la Aerolínea,Número de Vuelo,Duración (Minutos),Precio (EUR),Fecha de Salida,Hora de Salida,Fecha de extracción
MAD,CDG,IB,585,130,95.80,2025-02-01,09:50:00,2024-10-19
MAD,CDG,IB,589,130,95.80,2025-02-01,15:50:00,2024-10-19
MAD,CDG,IB,591,130,95.80,2025-02-01,21:40:00,2024-10-19
MAD,CDG,SK,9853,130,122.30,2025-02-01,17:55:00,2024-10-19
MAD,CDG,AF,1001,130,132.30,2025-02-01,10:00:00,2024-10-19
MAD,CDG,AF,1301,130,132.30,2025-02-01,12:25:00,2024-10-19
MAD,CDG,AF,1601,130,132.30,2025-02-01,16:20:00,2024-10-19
MAD,CDG,AF,1401,140,132.30,2025-02-01,06:00:00,2024-10-19
MAD,CDG,AF,1801,130,132.30,2025-02-01,17:55:00,2024-10-19
MAD,CDG,6X,1281,130,153.80,2025-02-01,15:30:00,2024-10-19
MAD,ORY,UX,1027,115,55.80,2025-02-01,08:00:00,2024-10-19
MAD,ORY,UX,1025,115,55.80,2025-02-01,16:30:00,2024-10-19
MAD,ORY,IB,573,125,95.80,2025-02-01,11:35:00,2024-10-19
MAD,ORY,IB,569,125,108.80,2025-02-01,07:25:00,2024-10-19
MAD,ORY,IB,571,125,108.80,2025-02-01,09:55:00,2024-10-19
MAD,ORY,IB,577,125,108.80,2025-02-01,14:30:00,2024-10-19
MAD,ORY,IB,583,125,108.80,2025-02-01,20:10:00,2024-10-19
MAD,ORY,IB,579,125,151.80,2025-02-01,16:10:00,2024-10-19
MAD,CDG,IB,585,130,95.80,2025-02-02,09:50:00,2024-10-19
MAD,CDG,SK,9852,140,100.30,2025-02-02,06:00:00,2024-10-19
MAD,CDG,IB,591,130,108.80,2025-02-02,21:40:00,2024-10-19
MAD,CDG,IB,589,130,127.80,2025-02-02,15:50:00,2024-10-19
MAD,CDG,AF,1401,140,132.30,2025-02-02,06:00:00,2024-10-19
MAD,CDG,AF,1001,130,147.30,2025-02-02,10:00:00,2024-10-19
MAD,CDG,AF,1601,130,147.30,2025-02-02,16:20:00,2024-10-19
