Aeropuerto de Salida,Aeropuerto de Llegada,Código de la Aerolínea,Número de Vuelo,Duración (Minutos),Precio (EUR),Fecha de Salida,Hora de Salida,Fecha de extracción
MAD,FCO,AZ,59,145,57.80,2025-02-01,05:50:00,2024-10-19
MAD,FCO,AZ,61,150,57.80,2025-02-01,11:45:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-01,18:00:00,2024-10-19
MAD,FCO,UX,1043,145,76.80,2025-02-01,07:05:00,2024-10-19
MAD,FCO,IB,647,145,95.80,2025-02-01,08:45:00,2024-10-19
MAD,FCO,IB,649,145,95.80,2025-02-01,11:30:00,2024-10-19
MAD,FCO,IB,655,145,95.80,2025-02-01,13:05:00,2024-10-19
MAD,FCO,IB,653,145,95.80,2025-02-01,15:45:00,2024-10-19
MAD,FCO,IB,657,145,95.80,2025-02-01,21:50:00,2024-10-19
MAD,FCO,UX,1047,145,103.80,2025-02-01,15:00:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-01,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-01,18:00:00,2024-10-19
MAD,FCO,AZ,7115,145,181.80,2025-02-01,07:05:00,2024-10-19
MAD,FCO,AZ,7117,145,213.80,2025-02-01,15:00:00,2024-10-19
MAD,FCO,AZ,59,145,57.80,2025-02-02,05:50:00,2024-10-19
MAD,FCO,AZ,61,150,57.80,2025-02-02,11:45:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-02,18:00:00,2024-10-19
MAD,FCO,UX,1043,145,76.80,2025-02-02,07:05:00,2024-10-19
MAD,FCO,IB,647,145,95.80,2025-02-02,08:45:00,2024-10-19
MAD,FCO,IB,649,145,95.80,2025-02-02,11:30:00,2024-10-19
MAD,FCO,IB,651,145,95.80,2025-02-02,13:05:00,2024-10-19
MAD,FCO,IB,657,145,95.80,2025-02-02,21:50:00,2024-10-19
MAD,FCO,UX,1047,145,103.80,2025-02-02,15:00:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-02,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-02,18:00:00,2024-10-19
MAD,FCO,IB,653,145,122.80,2025-02-02,15:45:00,2024-10-19
MAD,FCO,IB,655,145,122.80,2025-02-02,17:10:00,2024-10-19
MAD,FCO,AZ,7115,145,261.80,2025-02-02,07:05:00,2024-10-19
MAD,FCO,AZ,7117,145,261.80,2025-02-02,15:00:00,2024-10-19
MAD,FCO,UX,1043,145,49.80,2025-02-03,07:05:00,2024-10-19
MAD,FCO,AZ,59,145,57.80,2025-02-03,05:50:00,2024-10-19
MAD,FCO,AZ,61,150,57.80,2025-02-03,11:45:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-03,18:00:00,2024-10-19
MAD,FCO,UX,1047,145,76.80,2025-02-03,15:00:00,2024-10-19
MAD,FCO,IB,657,145,84.80,2025-02-03,21:50:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-03,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-03,18:00:00,2024-10-19
MAD,FCO,IB,651,145,122.80,2025-02-03,13:05:00,2024-10-19
MAD,FCO,IB,655,145,122.80,2025-02-03,17:10:00,2024-10-19
MAD,FCO,IB,653,145,122.80,2025-02-03,15:45:00,2024-10-19
MAD,FCO,IB,647,145,149.80,2025-02-03,08:45:00,2024-10-19
MAD,FCO,IB,649,145,149.80,2025-02-03,11:30:00,2024-10-19
MAD,FCO,AZ,7115,145,165.80,2025-02-03,07:05:00,2024-10-19
MAD,FCO,AZ,7117,145,261.80,2025-02-03,15:00:00,2024-10-19
MAD,FCO,UX,1043,145,49.80,2025-02-04,07:05:00,2024-10-19
MAD,FCO,AZ,59,145,57.80,2025-02-04,05:50:00,2024-10-19
MAD,FCO,AZ,61,150,57.80,2025-02-04,11:45:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-04,18:00:00,2024-10-19
MAD,FCO,UX,1047,145,76.80,2025-02-04,15:00:00,2024-10-19
MAD,FCO,IB,657,145,84.80,2025-02-04,21:50:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-04,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-04,18:00:00,2024-10-19
MAD,FCO,IB,647,145,122.80,2025-02-04,08:45:00,2024-10-19
MAD,FCO,IB,649,145,122.80,2025-02-04,11:30:00,2024-10-19
MAD,FCO,IB,651,145,122.80,2025-02-04,13:05:00,2024-10-19
MAD,FCO,IB,653,145,122.80,2025-02-04,15:45:00,2024-10-19
MAD,FCO,IB,655,145,122.80,2025-02-04,17:10:00,2024-10-19
MAD,FCO,AZ,7117,145,165.80,2025-02-04,15:00:00,2024-10-19
MAD,FCO,AZ,7115,145,261.80,2025-02-04,07:05:00,2024-10-19
MAD,FCO,UX,1043,145,49.80,2025-02-05,07:05:00,2024-10-19
MAD,FCO,UX,1047,145,49.80,2025-02-05,15:00:00,2024-10-19
MAD,FCO,AZ,59,145,57.80,2025-02-05,05:50:00,2024-10-19
MAD,FCO,AZ,61,150,57.80,2025-02-05,11:45:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-05,18:00:00,2024-10-19
MAD,FCO,IB,657,145,84.80,2025-02-05,21:50:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-05,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-05,18:00:00,2024-10-19
MAD,FCO,IB,649,145,122.80,2025-02-05,11:30:00,2024-10-19
MAD,FCO,IB,653,145,122.80,2025-02-05,15:45:00,2024-10-19
MAD,FCO,IB,655,145,122.80,2025-02-05,17:10:00,2024-10-19
MAD,FCO,IB,647,145,149.80,2025-02-05,08:45:00,2024-10-19
MAD,FCO,AZ,7117,145,261.80,2025-02-05,15:00:00,2024-10-19
MAD,FCO,AZ,7115,145,369.80,2025-02-05,07:05:00,2024-10-19
MAD,FCO,UX,1047,145,49.80,2025-02-06,15:00:00,2024-10-19
MAD,FCO,AZ,59,145,57.80,2025-02-06,05:50:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-06,18:00:00,2024-10-19
MAD,FCO,AZ,61,150,57.80,2025-02-06,11:45:00,2024-10-19
MAD,FCO,IB,649,145,95.80,2025-02-06,11:30:00,2024-10-19
MAD,FCO,UX,1043,145,103.80,2025-02-06,07:05:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-06,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-06,18:00:00,2024-10-19
MAD,FCO,IB,651,145,122.80,2025-02-06,13:05:00,2024-10-19
MAD,FCO,IB,655,145,122.80,2025-02-06,17:10:00,2024-10-19
MAD,FCO,IB,657,145,122.80,2025-02-06,21:50:00,2024-10-19
MAD,FCO,IB,653,145,149.80,2025-02-06,15:45:00,2024-10-19
MAD,FCO,AZ,7117,145,197.80,2025-02-06,15:00:00,2024-10-19
MAD,FCO,AZ,7115,145,237.80,2025-02-06,07:05:00,2024-10-19
MAD,FCO,IB,647,145,402.80,2025-02-06,08:45:00,2024-10-19
MAD,FCO,UX,1043,145,49.80,2025-02-07,07:05:00,2024-10-19
MAD,FCO,AZ,59,145,57.80,2025-02-07,05:50:00,2024-10-19
MAD,FCO,AZ,61,150,57.80,2025-02-07,11:45:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-07,18:00:00,2024-10-19
MAD,FCO,UX,1047,145,76.80,2025-02-07,15:00:00,2024-10-19
MAD,FCO,IB,657,145,95.80,2025-02-07,21:50:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-07,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-07,18:00:00,2024-10-19
MAD,FCO,IB,653,145,122.80,2025-02-07,15:45:00,2024-10-19
MAD,FCO,IB,655,145,149.80,2025-02-07,17:10:00,2024-10-19
MAD,FCO,IB,649,145,208.80,2025-02-07,11:30:00,2024-10-19
MAD,FCO,IB,651,145,235.80,2025-02-07,13:05:00,2024-10-19
MAD,FCO,AZ,7117,145,237.80,2025-02-07,15:00:00,2024-10-19
MAD,FCO,AZ,7115,145,369.80,2025-02-07,07:05:00,2024-10-19
MAD,FCO,IB,647,145,402.80,2025-02-07,08:45:00,2024-10-19
MAD,FCO,AZ,59,145,57.80,2025-02-08,05:50:00,2024-10-19
MAD,FCO,AZ,61,150,57.80,2025-02-08,11:45:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-08,18:00:00,2024-10-19
MAD,FCO,UX,1043,145,76.80,2025-02-08,07:05:00,2024-10-19
MAD,FCO,UX,1047,145,76.80,2025-02-08,15:00:00,2024-10-19
MAD,FCO,IB,649,145,95.80,2025-02-08,11:30:00,2024-10-19
MAD,FCO,IB,655,145,95.80,2025-02-08,17:10:00,2024-10-19
MAD,FCO,IB,657,145,95.80,2025-02-08,21:50:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-08,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-08,18:00:00,2024-10-19
MAD,FCO,IB,653,145,122.80,2025-02-08,15:45:00,2024-10-19
MAD,FCO,IB,647,145,149.80,2025-02-08,08:45:00,2024-10-19
MAD,FCO,AZ,7115,145,213.80,2025-02-08,07:05:00,2024-10-19
MAD,FCO,AZ,7117,145,213.80,2025-02-08,15:00:00,2024-10-19
MAD,FCO,AZ,59,145,57.80,2025-02-09,05:50:00,2024-10-19
MAD,FCO,AZ,61,150,57.80,2025-02-09,11:45:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-09,18:00:00,2024-10-19
MAD,FCO,UX,1043,145,76.80,2025-02-09,07:05:00,2024-10-19
MAD,FCO,UX,1047,145,76.80,2025-02-09,15:00:00,2024-10-19
MAD,FCO,IB,647,145,95.80,2025-02-09,08:45:00,2024-10-19
MAD,FCO,IB,651,145,95.80,2025-02-09,13:05:00,2024-10-19
MAD,FCO,IB,653,145,95.80,2025-02-09,15:45:00,2024-10-19
MAD,FCO,IB,655,145,95.80,2025-02-09,17:10:00,2024-10-19
MAD,FCO,IB,657,145,95.80,2025-02-09,21:50:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-09,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-09,18:00:00,2024-10-19
