Aeropuerto de Salida,Aeropuerto de Llegada,Código de la Aerolínea,Número de Vuelo,Duración (Minutos),Precio (EUR),Fecha de Salida,Hora de Salida,Fecha de extracción
CDG,MAD,IB,586,130,79.61,2025-02-01,12:45:00,2024-10-19
CDG,MAD,IB,590,130,79.61,2025-02-01,18:45:00,2024-10-19
CDG,MAD,IB,592,130,92.61,2025-02-01,07:00:00,2024-10-19
CDG,MAD,AF,1300,125,145.43,2025-02-01,09:25:00,2024-10-19
CDG,MAD,AF,1000,130,145.43,2025-02-01,07:00:00,2024-10-19
CDG,MAD,6X,1199,125,168.61,2025-02-01,12:35:00,2024-10-19
CDG,MAD,6X,3868,135,168.61,2025-02-01,16:45:00,2024-10-19
CDG,MAD,AF,1600,130,179.43,2025-02-01,13:15:00,2024-10-19
CDG,MAD,AF,1400,130,179.43,2025-02-01,20:55:00,2024-10-19
CDG,MAD,AF,1800,125,216.43,2025-02-01,14:55:00,2024-10-19
ORY,MAD,UX,1222,120,69.39,2025-02-01,17:15:00,2024-10-19
ORY,MAD,UX,1026,120,75.39,2025-02-01,19:25:00,2024-10-19
ORY,MAD,IB,584,125,78.39,2025-02-01,07:25:00,2024-10-19
ORY,MAD,IB,570,125,78.39,2025-02-01,10:15:00,2024-10-19
ORY,MAD,IB,572,125,78.39,2025-02-01,12:45:00,2024-10-19
ORY,MAD,IB,574,125,78.39,2025-02-01,14:25:00,2024-10-19
ORY,MAD,IB,578,125,78.39,2025-02-01,17:20:00,2024-10-19
ORY,MAD,IB,580,125,78.39,2025-02-01,19:00:00,2024-10-19
ORY,MAD,UX,1028,120,92.39,2025-02-01,10:55:00,2024-10-19
CDG,MAD,IB,592,130,79.61,2025-02-02,07:00:00,2024-10-19
CDG,MAD,IB,586,130,135.61,2025-02-02,12:45:00,2024-10-19
CDG,MAD,IB,590,130,135.61,2025-02-02,18:45:00,2024-10-19
CDG,MAD,6X,1199,125,168.61,2025-02-02,12:35:00,2024-10-19
CDG,MAD,6X,3868,135,168.61,2025-02-02,16:45:00,2024-10-19
CDG,MAD,AF,1600,130,216.43,2025-02-02,13:15:00,2024-10-19
CDG,MAD,AF,1000,130,232.11,2025-02-02,07:00:00,2024-10-19
CDG,MAD,AF,1100,130,232.43,2025-02-02,17:05:00,2024-10-19
CDG,MAD,AF,1300,125,257.43,2025-02-02,09:25:00,2024-10-19
CDG,MAD,AF,1800,125,257.43,2025-02-02,14:55:00,2024-10-19
CDG,MAD,AF,1400,130,257.43,2025-02-02,20:55:00,2024-10-19
CDG,MAD,SK,9768,130,352.43,2025-02-02,17:05:00,2024-10-19
CDG,MAD,SK,9770,130,416.43,2025-02-02,20:55:00,2024-10-19
ORY,MAD,IB,584,125,91.39,2025-02-02,07:25:00,2024-10-19
ORY,MAD,IB,570,125,91.39,2025-02-02,10:15:00,2024-10-19
ORY,MAD,IB,572,125,110.39,2025-02-02,12:45:00,2024-10-19
ORY,MAD,IB,574,125,110.39,2025-02-02,14:25:00,2024-10-19
ORY,MAD,UX,1222,120,114.39,2025-02-02,17:15:00,2024-10-19
ORY,MAD,UX,1028,120,158.39,2025-02-02,10:55:00,2024-10-19
ORY,MAD,IB,578,125,158.39,2025-02-02,17:20:00,2024-10-19
ORY,MAD,IB,580,125,158.39,2025-02-02,19:00:00,2024-10-19
ORY,MAD,IB,582,125,194.39,2025-02-02,20:55:00,2024-10-19
CDG,MAD,IB,592,130,79.61,2025-02-03,07:00:00,2024-10-19
CDG,MAD,IB,590,130,79.61,2025-02-03,18:45:00,2024-10-19
CDG,MAD,IB,586,130,79.61,2025-02-03,12:45:00,2024-10-19
CDG,MAD,AF,1400,130,139.43,2025-02-03,20:55:00,2024-10-19
CDG,MAD,AF,1100,130,145.43,2025-02-03,17:05:00,2024-10-19
CDG,MAD,6X,1199,125,168.61,2025-02-03,12:35:00,2024-10-19
CDG,MAD,6X,3868,135,168.61,2025-02-03,16:45:00,2024-10-19
CDG,MAD,AF,1300,125,179.43,2025-02-03,09:25:00,2024-10-19
CDG,MAD,AF,1800,125,179.43,2025-02-03,14:55:00,2024-10-19
CDG,MAD,AF,1000,130,179.43,2025-02-03,07:00:00,2024-10-19
CDG,MAD,AF,1600,130,179.43,2025-02-03,13:15:00,2024-10-19
CDG,MAD,SK,9768,130,190.43,2025-02-03,17:05:00,2024-10-19
