Aeropuerto de Salida,Aeropuerto de Llegada,Código de la Aerolínea,Número de Vuelo,Duración (Minutos),Precio (EUR),Fecha de Salida,Hora de Salida,Fecha de extracción
FCO,MAD,AZ,64,154,63.56,2025-02-01,21:25:00,2024-10-19
FCO,MAD,AZ,58,155,63.56,2025-02-01,08:20:00,2024-10-19
FCO,MAD,AZ,60,155,63.56,2025-02-01,14:35:00,2024-10-19
FCO,MAD,IB,648,155,77.56,2025-02-01,11:55:00,2024-10-19
FCO,MAD,IB,658,155,104.56,2025-02-01,07:30:00,2024-10-19
FCO,MAD,IB,650,155,104.56,2025-02-01,14:45:00,2024-10-19
FCO,MAD,IB,656,155,104.56,2025-02-01,20:20:00,2024-10-19
FCO,MAD,UX,1048,155,116.56,2025-02-01,18:25:00,2024-10-19
FCO,MAD,UX,3114,155,119.56,2025-02-01,08:20:00,2024-10-19
FCO,MAD,UX,3116,155,119.56,2025-02-01,14:35:00,2024-10-19
FCO,MAD,UX,1040,155,142.56,2025-02-01,10:30:00,2024-10-19
FCO,MAD,IB,654,155,160.56,2025-02-01,18:55:00,2024-10-19
FCO,MAD,AZ,7118,155,210.56,2025-02-01,18:25:00,2024-10-19
FCO,MAD,AZ,7116,155,298.56,2025-02-01,10:30:00,2024-10-19
FCO,MAD,AZ,64,154,63.56,2025-02-02,21:25:00,2024-10-19
FCO,MAD,AZ,58,155,63.56,2025-02-02,08:20:00,2024-10-19
FCO,MAD,AZ,60,155,63.56,2025-02-02,14:35:00,2024-10-19
FCO,MAD,IB,658,155,77.56,2025-02-02,07:30:00,2024-10-19
FCO,MAD,IB,648,155,104.56,2025-02-02,11:55:00,2024-10-19
FCO,MAD,IB,650,155,104.56,2025-02-02,14:45:00,2024-10-19
FCO,MAD,IB,652,155,104.56,2025-02-02,16:20:00,2024-10-19
FCO,MAD,UX,1040,155,116.56,2025-02-02,10:30:00,2024-10-19
FCO,MAD,UX,3114,155,119.56,2025-02-02,08:20:00,2024-10-19
FCO,MAD,IB,656,155,131.56,2025-02-02,20:20:00,2024-10-19
FCO,MAD,UX,1048,155,142.56,2025-02-02,18:25:00,2024-10-19
FCO,MAD,IB,654,155,160.56,2025-02-02,18:55:00,2024-10-19
FCO,MAD,AZ,7116,155,194.56,2025-02-02,10:30:00,2024-10-19
FCO,MAD,AZ,7118,155,274.56,2025-02-02,18:25:00,2024-10-19
FCO,MAD,AZ,64,154,63.56,2025-02-03,21:25:00,2024-10-19
FCO,MAD,AZ,58,155,63.56,2025-02-03,08:20:00,2024-10-19
FCO,MAD,AZ,60,155,63.56,2025-02-03,14:35:00,2024-10-19
FCO,MAD,IB,658,155,77.56,2025-02-03,07:30:00,2024-10-19
FCO,MAD,IB,654,155,77.56,2025-02-03,18:55:00,2024-10-19
FCO,MAD,IB,648,155,104.56,2025-02-03,11:55:00,2024-10-19
FCO,MAD,IB,650,155,104.56,2025-02-03,14:45:00,2024-10-19
FCO,MAD,IB,652,155,104.56,2025-02-03,16:20:00,2024-10-19
FCO,MAD,IB,656,155,104.56,2025-02-03,20:20:00,2024-10-19
FCO,MAD,UX,3114,155,119.56,2025-02-03,08:20:00,2024-10-19
FCO,MAD,UX,3116,155,119.56,2025-02-03,14:35:00,2024-10-19
FCO,MAD,UX,1040,155,247.56,2025-02-03,10:30:00,2024-10-19
FCO,MAD,UX,1048,155,247.56,2025-02-03,18:25:00,2024-10-19
FCO,MAD,AZ,7116,155,250.56,2025-02-03,10:30:00,2024-10-19
